run_key,dataset_class,task_type,attack_severity,outer_fold
20260721_001111:135,normal,long_cube_then_cylinder_sort,none,3
20260721_001111:136,normal,long_cube_then_cylinder_sort,none,5
20260721_001111:137,normal,long_cube_then_cylinder_sort,none,4
20260721_001111:138,normal,long_cube_then_cylinder_sort,none,5
20260721_001111:139,normal,long_cube_then_cylinder_sort,none,4
20260721_001111:140,normal,long_cube_then_cylinder_sort,none,2
20260721_001111:141,normal,long_cube_then_cylinder_sort,none,4
20260721_001111:142,normal,long_cube_then_cylinder_sort,none,1
20260721_001111:143,normal,long_cube_then_cylinder_sort,none,2
20260721_001111:144,normal,long_cube_then_cylinder_sort,none,1
20260721_001111:145,normal,long_cube_then_cylinder_sort,none,3
20260721_001111:146,normal,long_cube_then_cylinder_sort,none,5
20260721_001111:147,normal,long_cube_then_cylinder_sort,none,5
20260721_001111:148,normal,long_cube_then_cylinder_sort,none,3
20260721_001111:149,normal,long_cube_then_cylinder_sort,none,1
20260721_001111:150,normal,long_cube_then_cylinder_sort,none,4
20260721_001111:151,normal,long_cube_then_cylinder_sort,none,4
20260721_001111:152,normal,long_cube_then_cylinder_sort,none,1
20260721_001111:153,normal,long_cube_then_cylinder_sort,none,5
20260721_001111:154,normal,long_cube_then_cylinder_sort,none,2
20260721_001111:155,normal,long_cube_then_cylinder_sort,none,4
20260721_001111:156,normal,long_cube_then_cylinder_sort,none,5
20260721_001111:157,normal,long_cube_then_cylinder_sort,none,2
20260721_001111:158,normal,long_cube_then_cylinder_sort,none,1
20260721_001111:159,normal,long_cube_then_cylinder_sort,none,2
20260721_001111:160,normal,long_cube_then_cylinder_sort,none,2
20260721_001111:161,normal,long_cube_then_cylinder_sort,none,3
20260721_001111:162,normal,long_cube_then_cylinder_sort,none,4
20260721_001111:163,normal,long_cube_then_cylinder_sort,none,3
20260721_001111:164,normal,long_cube_then_cylinder_sort,none,2
20260721_001111:165,normal,long_cube_then_cylinder_sort,none,5
20260721_001111:166,normal,long_cube_then_cylinder_sort,none,1
20260721_001111:167,normal,long_cube_then_cylinder_sort,none,3
20260721_001111:168,normal,long_cube_then_cylinder_sort,none,4
20260721_001111:169,normal,long_cube_then_cylinder_sort,none,3
20260721_001111:170,normal,long_cube_then_cylinder_sort,none,3
20260721_001111:171,normal,long_cube_then_cylinder_sort,none,1
20260721_001111:172,normal,long_cube_then_cylinder_sort,none,1
20260721_001111:173,normal,long_cube_then_cylinder_sort,none,2
20260721_001111:174,normal,long_cube_then_cylinder_sort,none,1
20260721_001111:175,normal,long_cube_then_cylinder_sort,none,5
20260721_001111:176,normal,long_cube_then_cylinder_sort,none,1
20260721_001111:177,normal,long_cube_then_cylinder_sort,none,1
20260721_001111:178,normal,long_cube_then_cylinder_sort,none,4
20260721_001111:179,normal,long_cube_then_cylinder_sort,none,3
20260721_001111:180,normal,long_cube_then_cylinder_sort,none,4
20260721_001111:181,normal,long_cube_then_cylinder_sort,none,5
20260721_001111:182,normal,long_cube_then_cylinder_sort,none,3
20260721_001111:183,normal,long_cube_then_cylinder_sort,none,2
20260721_001111:184,normal,long_cube_then_cylinder_sort,none,4
20260721_001111:185,normal,long_cube_then_cylinder_sort,none,2
20260721_001111:186,normal,long_cube_then_cylinder_sort,none,3
20260721_001111:187,normal,long_cube_then_cylinder_sort,none,5
20260721_001111:188,normal,long_cube_then_cylinder_sort,none,2
20260721_001111:189,normal,long_cube_then_cylinder_sort,none,1
20260721_001111:190,normal,long_cube_then_cylinder_sort,none,4
20260721_001111:191,normal,long_cube_then_cylinder_sort,none,4
20260721_001111:192,normal,long_cube_then_cylinder_sort,none,1
20260721_001111:193,normal,long_cube_then_cylinder_sort,none,2
20260721_001111:194,normal,long_cube_then_cylinder_sort,none,3
20260721_001111:195,normal,long_cube_then_cylinder_sort,none,1
20260721_001111:196,normal,long_cube_then_cylinder_sort,none,2
20260721_001111:197,normal,long_cube_then_cylinder_sort,none,5
20260721_001111:198,normal,long_cube_then_cylinder_sort,none,2
20260721_001111:199,normal,long_cube_then_cylinder_sort,none,1
20260721_001111:200,normal,long_cube_then_cylinder_sort,none,5
20260721_021116:1,mitm_trajectory_manipulation,short_cube_pick_place,medium,4
20260721_021136:2,mitm_trajectory_manipulation,short_cube_pick_place,low,3
20260721_021152:3,mitm_trajectory_manipulation,short_cube_pick_place,low,4
20260721_021209:4,mitm_trajectory_manipulation,short_cube_pick_place,medium,5
20260721_021226:5,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,high,2
20260721_021313:6,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,low,4
20260721_021413:7,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,high,4
20260721_021449:8,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,medium,5
20260721_021525:9,mitm_trajectory_manipulation,short_cube_pick_place,high,3
20260721_021542:10,mitm_trajectory_manipulation,short_cube_pick_place,low,5
20260721_021559:11,mitm_trajectory_manipulation,short_cube_pick_place,high,4
20260721_021615:12,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,high,2
20260721_021651:13,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,low,5
20260721_021738:14,mitm_trajectory_manipulation,short_cube_pick_place,low,2
20260721_021817:15,mitm_trajectory_manipulation,short_cube_pick_place,low,5
20260721_021923:16,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,low,5
20260721_022011:17,mitm_trajectory_manipulation,short_cube_pick_place,medium,4
20260721_022028:18,mitm_trajectory_manipulation,short_cube_pick_place,high,3
20260721_022044:19,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,high,5
20260721_022121:20,mitm_trajectory_manipulation,short_cube_pick_place,high,2
20260721_022138:21,mitm_trajectory_manipulation,short_cube_pick_place,medium,3
20260721_022154:22,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,high,4
20260721_022304:23,mitm_trajectory_manipulation,short_cube_pick_place,medium,4
20260721_022322:24,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,high,1
20260721_022359:25,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,low,2
20260721_022435:26,mitm_trajectory_manipulation,short_cube_pick_place,low,3
20260721_022451:27,mitm_trajectory_manipulation,short_cube_pick_place,high,1
20260721_022508:28,mitm_trajectory_manipulation,short_cube_pick_place,high,2
20260721_022524:29,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,low,2
20260721_022600:30,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,low,3
20260721_022637:31,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,medium,2
20260721_022713:32,mitm_trajectory_manipulation,short_cube_pick_place,high,4
20260721_022741:33,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,medium,1
20260721_022817:34,mitm_trajectory_manipulation,short_cube_pick_place,low,1
20260721_022833:35,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,medium,3
20260721_022909:36,mitm_trajectory_manipulation,short_cube_pick_place,low,4
20260721_022928:37,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,medium,4
20260721_023004:38,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,high,4
20260721_023041:39,mitm_trajectory_manipulation,short_cube_pick_place,low,3
20260721_023102:40,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,high,4
20260721_023139:41,mitm_trajectory_manipulation,short_cube_pick_place,high,2
20260721_023157:42,mitm_trajectory_manipulation,short_cube_pick_place,high,4
20260721_023214:43,mitm_trajectory_manipulation,short_cube_pick_place,high,4
20260721_023230:44,mitm_trajectory_manipulation,short_cube_pick_place,medium,1
20260721_023251:45,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,low,2
20260721_023327:46,mitm_trajectory_manipulation,short_cube_pick_place,low,1
20260721_023344:47,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,low,4
20260721_023432:48,mitm_trajectory_manipulation,short_cube_pick_place,low,4
20260721_023451:49,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,medium,4
20260721_023539:50,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,medium,1
20260721_023616:51,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,high,3
20260721_023652:52,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,medium,3
20260721_023740:53,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,medium,2
20260721_023839:54,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,high,1
20260721_023938:55,mitm_trajectory_manipulation,short_cube_pick_place,medium,2
20260721_023954:56,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,high,3
20260721_024031:57,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,medium,3
20260721_024108:58,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,high,5
20260721_024144:59,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,medium,2
20260721_024231:60,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,high,3
20260721_024308:61,mitm_trajectory_manipulation,short_cube_pick_place,low,5
20260721_024328:62,mitm_trajectory_manipulation,short_cube_pick_place,medium,3
20260721_024346:63,mitm_trajectory_manipulation,short_cube_pick_place,medium,2
20260721_024410:64,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,high,2
20260721_024447:65,mitm_trajectory_manipulation,short_cube_pick_place,high,1
20260721_024503:66,mitm_trajectory_manipulation,short_cube_pick_place,medium,3
20260721_024520:67,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,low,1
20260721_024556:68,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,low,1
20260721_024632:69,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,high,5
20260721_024730:70,mitm_trajectory_manipulation,short_cube_pick_place,medium,5
20260721_024748:71,mitm_trajectory_manipulation,short_cube_pick_place,low,1
20260721_024804:72,mitm_trajectory_manipulation,short_cube_pick_place,medium,1
20260721_024821:73,mitm_trajectory_manipulation,short_cube_pick_place,high,5
20260721_024849:74,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,medium,4
20260721_024937:75,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,medium,5
20260721_025013:76,mitm_trajectory_manipulation,short_cube_pick_place,low,2
20260721_025044:77,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,medium,1
20260721_025131:78,mitm_trajectory_manipulation,short_cube_pick_place,high,5
20260721_025148:79,mitm_trajectory_manipulation,short_cube_pick_place,high,3
20260721_025207:80,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,high,5
20260721_025255:81,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,low,1
20260721_025342:82,mitm_trajectory_manipulation,short_cube_pick_place,low,2
20260721_025359:83,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,low,3
20260721_025446:84,mitm_trajectory_manipulation,short_cube_pick_place,high,5
20260721_025505:85,mitm_trajectory_manipulation,short_cube_pick_place,medium,1
20260721_025522:86,mitm_trajectory_manipulation,short_cube_pick_place,medium,5
20260721_025539:87,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,low,5
20260721_025638:88,mitm_trajectory_manipulation,short_cube_pick_place,low,3
20260721_025658:89,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,high,1
20260721_025745:90,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,low,4
20260721_025822:91,mitm_trajectory_manipulation,short_cube_pick_place,medium,1
20260721_025839:92,mitm_trajectory_manipulation,short_cube_pick_place,low,2
20260721_025857:93,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,medium,5
20260721_025933:94,mitm_trajectory_manipulation,short_cube_pick_place,high,5
20260721_025950:95,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,low,2
20260721_030026:96,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,low,1
20260721_030102:97,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,medium,3
20260721_030138:98,mitm_trajectory_manipulation,short_cube_pick_place,high,1
20260721_030159:99,mitm_trajectory_manipulation,short_cube_pick_place,medium,2
20260721_030219:100,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,low,3
20260721_040048:1,command_injection,short_cube_pick_place,medium,2
20260721_040106:2,command_injection,short_cube_pick_place,low,3
20260721_040127:3,command_injection,short_cube_pick_place,low,3
20260721_040145:4,command_injection,short_cube_pick_place,medium,3
20260721_040202:5,command_injection,long_cube_then_cylinder_sort,high,3
20260721_040239:6,command_injection,long_cube_then_cylinder_sort,low,2
20260721_040339:7,command_injection,long_cube_then_cylinder_sort,high,3
20260721_040416:8,command_injection,long_cube_then_cylinder_sort,medium,4
20260721_040453:9,command_injection,short_cube_pick_place,high,5
20260721_040522:10,command_injection,short_cube_pick_place,low,2
20260721_040540:11,command_injection,short_cube_pick_place,high,5
20260721_040557:12,command_injection,long_cube_then_cylinder_sort,high,1
20260721_040634:13,command_injection,long_cube_then_cylinder_sort,low,4
20260721_040711:14,command_injection,short_cube_pick_place,low,4
20260721_040741:15,command_injection,short_cube_pick_place,low,2
20260721_040758:16,command_injection,long_cube_then_cylinder_sort,low,5
20260721_040835:17,command_injection,short_cube_pick_place,medium,1
20260721_040852:18,command_injection,short_cube_pick_place,high,5
20260721_040910:19,command_injection,long_cube_then_cylinder_sort,high,3
20260721_040958:20,command_injection,short_cube_pick_place,high,3
20260721_041017:21,command_injection,short_cube_pick_place,medium,5
20260721_041041:22,command_injection,long_cube_then_cylinder_sort,high,4
20260721_041118:23,command_injection,short_cube_pick_place,medium,3
20260721_041148:24,command_injection,long_cube_then_cylinder_sort,high,4
20260721_041225:25,command_injection,long_cube_then_cylinder_sort,low,3
20260721_041302:26,command_injection,short_cube_pick_place,low,1
20260721_041336:27,command_injection,short_cube_pick_place,high,2
20260721_041354:28,command_injection,short_cube_pick_place,high,2
20260721_041423:29,command_injection,long_cube_then_cylinder_sort,low,3
20260721_041511:30,command_injection,long_cube_then_cylinder_sort,low,3
20260721_041600:31,command_injection,long_cube_then_cylinder_sort,medium,2
20260721_041649:32,command_injection,short_cube_pick_place,high,5
20260721_041711:33,command_injection,long_cube_then_cylinder_sort,medium,1
20260721_041748:34,command_injection,short_cube_pick_place,low,3
20260721_041808:35,command_injection,long_cube_then_cylinder_sort,medium,2
20260721_041845:36,command_injection,short_cube_pick_place,low,2
20260721_041914:37,command_injection,long_cube_then_cylinder_sort,medium,4
20260721_042700:38,command_injection,long_cube_then_cylinder_sort,high,4
20260721_042739:39,command_injection,short_cube_pick_place,low,1
20260721_042756:40,command_injection,long_cube_then_cylinder_sort,high,5
20260721_042845:41,command_injection,short_cube_pick_place,high,1
20260721_042903:42,command_injection,short_cube_pick_place,high,1
20260721_042920:43,command_injection,short_cube_pick_place,high,4
20260721_042939:44,command_injection,short_cube_pick_place,medium,4
20260721_043008:45,command_injection,long_cube_then_cylinder_sort,low,1
20260721_043045:46,command_injection,short_cube_pick_place,low,3
20260721_043107:47,command_injection,long_cube_then_cylinder_sort,low,2
20260721_043156:48,command_injection,short_cube_pick_place,low,5
20260721_043213:49,command_injection,long_cube_then_cylinder_sort,medium,3
20260721_043302:50,command_injection,long_cube_then_cylinder_sort,medium,5
20260721_043339:51,command_injection,long_cube_then_cylinder_sort,high,5
20260721_043417:52,command_injection,long_cube_then_cylinder_sort,medium,3
20260721_043505:53,command_injection,long_cube_then_cylinder_sort,medium,4
20260721_043605:54,command_injection,long_cube_then_cylinder_sort,high,2
20260721_043642:55,command_injection,short_cube_pick_place,medium,4
20260721_043659:56,command_injection,long_cube_then_cylinder_sort,high,2
20260721_043737:57,command_injection,long_cube_then_cylinder_sort,medium,3
20260721_043837:58,command_injection,long_cube_then_cylinder_sort,high,4
20260721_043915:59,command_injection,long_cube_then_cylinder_sort,medium,2
20260721_043952:60,command_injection,long_cube_then_cylinder_sort,high,1
20260721_044051:61,command_injection,short_cube_pick_place,low,1
20260721_044113:62,command_injection,short_cube_pick_place,medium,5
20260721_044131:63,command_injection,short_cube_pick_place,medium,1
20260721_044148:64,command_injection,long_cube_then_cylinder_sort,high,5
20260721_044225:65,command_injection,short_cube_pick_place,high,4
20260721_044243:66,command_injection,short_cube_pick_place,medium,2
20260721_044300:67,command_injection,long_cube_then_cylinder_sort,low,5
20260721_044338:68,command_injection,long_cube_then_cylinder_sort,low,5
20260721_044449:69,command_injection,long_cube_then_cylinder_sort,high,2
20260721_044526:70,command_injection,short_cube_pick_place,medium,4
20260721_044555:71,command_injection,short_cube_pick_place,low,4
20260721_044617:72,command_injection,short_cube_pick_place,medium,3
20260721_044637:73,command_injection,short_cube_pick_place,high,4
20260721_044707:74,command_injection,long_cube_then_cylinder_sort,medium,1
20260721_044745:75,command_injection,long_cube_then_cylinder_sort,medium,5
20260721_044833:76,command_injection,short_cube_pick_place,low,5
20260721_044851:77,command_injection,long_cube_then_cylinder_sort,medium,5
20260721_044940:78,command_injection,short_cube_pick_place,high,3
20260721_045009:79,command_injection,short_cube_pick_place,high,2
20260721_045026:80,command_injection,long_cube_then_cylinder_sort,high,1
20260721_045148:81,command_injection,long_cube_then_cylinder_sort,low,2
20260721_045248:82,command_injection,short_cube_pick_place,low,2
20260721_045305:83,command_injection,long_cube_then_cylinder_sort,low,2
20260721_045343:84,command_injection,short_cube_pick_place,high,4
20260721_045400:85,command_injection,short_cube_pick_place,medium,1
20260721_045418:86,command_injection,short_cube_pick_place,medium,2
20260721_045446:87,command_injection,long_cube_then_cylinder_sort,low,4
20260721_045527:88,command_injection,short_cube_pick_place,low,5
20260721_045554:89,command_injection,long_cube_then_cylinder_sort,high,5
20260721_045632:90,command_injection,long_cube_then_cylinder_sort,low,1
20260721_045721:91,command_injection,short_cube_pick_place,medium,5
20260721_045738:92,command_injection,short_cube_pick_place,low,4
20260721_045814:93,command_injection,long_cube_then_cylinder_sort,medium,3
20260721_045851:94,command_injection,short_cube_pick_place,high,3
20260721_045913:95,command_injection,long_cube_then_cylinder_sort,low,1
20260721_045950:96,command_injection,long_cube_then_cylinder_sort,low,4
20260721_050050:97,command_injection,long_cube_then_cylinder_sort,medium,1
20260721_050129:98,command_injection,short_cube_pick_place,high,1
20260721_050146:99,command_injection,short_cube_pick_place,medium,1
20260721_050204:100,command_injection,long_cube_then_cylinder_sort,low,1
20260721_053233:1,denial_of_service,short_cube_pick_place,medium,2
20260721_053250:2,denial_of_service,short_cube_pick_place,low,3
20260721_053307:3,denial_of_service,short_cube_pick_place,low,1
20260721_053324:4,denial_of_service,short_cube_pick_place,medium,5
20260721_053341:5,denial_of_service,long_cube_then_cylinder_sort,high,4
20260721_053504:6,denial_of_service,long_cube_then_cylinder_sort,low,2
20260721_053614:7,denial_of_service,long_cube_then_cylinder_sort,high,4
20260721_053944:8,denial_of_service,long_cube_then_cylinder_sort,medium,2
20260721_054055:9,denial_of_service,short_cube_pick_place,high,2
20260721_054112:10,denial_of_service,short_cube_pick_place,low,1
20260721_054129:11,denial_of_service,short_cube_pick_place,high,3
20260721_054159:12,denial_of_service,long_cube_then_cylinder_sort,high,2
20260721_054248:13,denial_of_service,long_cube_then_cylinder_sort,low,1
20260721_054325:14,denial_of_service,short_cube_pick_place,low,5
20260721_054341:15,denial_of_service,short_cube_pick_place,low,4
20260721_054410:16,denial_of_service,long_cube_then_cylinder_sort,low,3
20260721_054447:17,denial_of_service,short_cube_pick_place,medium,4
20260721_054505:18,denial_of_service,short_cube_pick_place,high,1
20260721_054523:19,denial_of_service,long_cube_then_cylinder_sort,high,1
20260721_054601:20,denial_of_service,short_cube_pick_place,high,1
20260721_054619:21,denial_of_service,short_cube_pick_place,medium,5
20260721_054636:22,denial_of_service,long_cube_then_cylinder_sort,high,5
20260721_054725:23,denial_of_service,short_cube_pick_place,medium,4
20260721_054805:24,denial_of_service,long_cube_then_cylinder_sort,high,5
20260721_054854:25,denial_of_service,long_cube_then_cylinder_sort,low,1
20260721_054952:26,denial_of_service,short_cube_pick_place,low,2
20260721_055009:27,denial_of_service,short_cube_pick_place,high,3
20260721_055027:28,denial_of_service,short_cube_pick_place,high,1
20260721_055057:29,denial_of_service,long_cube_then_cylinder_sort,low,4
20260721_055133:30,denial_of_service,long_cube_then_cylinder_sort,low,2
20260721_055222:31,denial_of_service,long_cube_then_cylinder_sort,medium,3
20260721_055258:32,denial_of_service,short_cube_pick_place,high,4
20260721_055316:33,denial_of_service,long_cube_then_cylinder_sort,medium,4
20260721_055404:34,denial_of_service,short_cube_pick_place,low,5
20260721_055428:35,denial_of_service,long_cube_then_cylinder_sort,medium,1
20260721_055517:36,denial_of_service,short_cube_pick_place,low,4
